Name	Value
mapreduce.cluster.acls.enabled	false
mapred.output.direct.EmrFileSystem	true
yarn.nodemanager.aux-services	mapreduce_shuffle,
mapreduce.job.ubertask.maxmaps	9
dfs.hosts.exclude	/emr/instance-controller/lib/dfs.hosts.exclude
yarn.nodemanager.container-manager.thread-count	64
mapreduce.app-submission.cross-platform	false
mapreduce.job.reducer.preempt.delay.sec	0
s3native.bytes-per-checksum	512
dfs.namenode.path.based.cache.block.map.allocation.percent	0.25
yarn.app.mapreduce.am.labels	CORE
dfs.webhdfs.use.ipc.callq	true
mapreduce.reduce.markreset.buffer.percent	0.0
dfs.datanode.cache.revocation.polling.ms	500
dfs.namenode.lazypersist.file.scrub.interval.sec	300
mapreduce.jobhistory.recovery.store.fs.uri	${hadoop.tmp.dir}/mapred/history/recoverystore
hadoop.registry.zk.retry.interval.ms	1000
io.compression.codec.lzo.class	com.hadoop.compression.lzo.LzoCodec
yarn.nodemanager.keytab	/etc/krb5.keytab
nfs.dump.dir	/tmp/.hdfs-nfs
mapreduce.job.user.name	hadoop
yarn.nodemanager.delete.debug-delay-sec	0
yarn.timeline-service.ttl-enable	true
yarn.resourcemanager.fs.state-store.retry-policy-spec	2000, 500
mapreduce.reduce.skip.maxgroups	0
fs.trash.interval	0
mapreduce.job.name	streamjob4487009811121016911.jar
yarn.nodemanager.resource-monitor.interval-ms	3000
mapreduce.jobhistory.done-dir	${yarn.app.mapreduce.am.staging-dir}/history/done
hadoop.security.instrumentation.requires.admin	false
nfs.rtmax	1048576
yarn.resourcemanager.container.liveness-monitor.interval-ms	600000
dfs.namenode.backup.address	0.0.0.0:50100
dfs.namenode.max-lock-hold-to-release-lease-ms	25
dfs.datanode.readahead.bytes	4194304
mapreduce.jobhistory.cleaner.enable	true
dfs.client.block.write.retries	3
ha.failover-controller.graceful-fence.connection.retries	1
httpfs.buffer.size	4096
dfs.namenode.safemode.threshold-pct	0.999f
yarn.nodemanager.disk-health-checker.enable	true
hadoop.security.java.secure.random.algorithm	SHA1PRNG
mapreduce.job.cache.archives	hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/domainrank_ccmr.tar.gz#domainrank_ccmr.tar.gz
dfs.datanode.dns.nameserver	default
mapreduce.cluster.temp.dir	${hadoop.tmp.dir}/mapred/temp
mapreduce.client.submit.file.replication	10
yarn.fail-fast	false
dfs.namenode.edits.journal-plugin.qjournal	org.apache.hadoop.hdfs.qjournal.client.QuorumJournalManager
dfs.client.write.exclude.nodes.cache.expiry.interval.millis	600000
dfs.client.mmap.cache.timeout.ms	3600000
io.skip.checksum.errors	false
yarn.timeline-service.hostname	ip-192-168-27-182.ec2.internal
yarn.acl.enable	false
fs.s3a.fast.upload	false
file.blocksize	67108864
hadoop.rpc.socket.factory.class.default	org.apache.hadoop.net.StandardSocketFactory
yarn.resourcemanager.delegation-token-renewer.thread-count	50
fs.AbstractFileSystem.swebhdfs.impl	org.apache.hadoop.fs.SWebHdfs
hadoop.common.configuration.version	0.23.0
yarn.resourcemanager.client.thread-count	64
dfs.datanode.drop.cache.behind.reads	false
mapreduce.job.output.value.class	org.apache.hadoop.io.Text
mapreduce.output.fileoutputformat.outputdir	hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/5cluster-1-attempt0
stream.reduce.streamprocessor	%2Fbin%2Fbash+-x+setup-wrapper.sh+python+domainrank.py+--step-num%3D2+--reducer+--iterations+1+--sortrank+1
hadoop.proxyuser.hue.hosts	*
yarn.nodemanager.linux-container-executor.nonsecure-mode.user-pattern	^[_.A-Za-z0-9][-@_.A-Za-z0-9]{0,255}?[$]?$
yarn.resourcemanager.zk-timeout-ms	10000
yarn.resourcemanager.max-completed-applications	10000
yarn.sharedcache.cleaner.period-mins	1440
dfs.xframe.value	SAMEORIGIN
mapreduce.job.end-notification.max.retry.interval	5000
mapreduce.job.acl-view-job	
yarn.node-labels.fs-store.retry-policy-spec	2000, 500
yarn.app.mapreduce.am.job.task.listener.thread-count	60
yarn.app.mapreduce.am.resource.cpu-vcores	1
dfs.namenode.edit.log.autoroll.check.interval.ms	300000
mapreduce.map.skip.proc-count.auto-incr	true
hadoop.security.group.mapping.ldap.search.attr.member	member
hadoop.ssl.client.conf	ssl-client.xml
yarn.sharedcache.root-dir	/sharedcache
dfs.journalnode.https-address	0.0.0.0:8481
hadoop.security.groups.cache.background.reload	false
mapreduce.reduce.shuffle.fetch.retry.timeout-ms	30000
dfs.bytes-per-checksum	512
dfs.namenode.max.objects	0
dfs.datanode.max.transfer.threads	4096
dfs.block.access.key.update.interval	600
mapreduce.map.output.key.class	org.apache.hadoop.io.Text
mapreduce.map.memory.mb	768
dfs.datanode.directoryscan.throttle.limit.ms.per.sec	1000
dfs.datanode.hdfs-blocks-metadata.enabled	false
dfs.image.transfer.chunksize	65536
mapreduce.jobhistory.jhist.format	json
dfs.client.https.keystore.resource	ssl-client.xml
yarn.resourcemanager.connect.retry-interval.ms	30000
yarn.timeline-service.webapp.address	${yarn.timeline-service.hostname}:8188
yarn.scheduler.minimum-allocation-mb	32
yarn.sharedcache.cleaner.resource-sleep-ms	0
net.topology.impl	org.apache.hadoop.net.NetworkTopology
io.seqfile.compress.blocksize	1000000
fs.AbstractFileSystem.ftp.impl	org.apache.hadoop.fs.ftp.FtpFs
dfs.namenode.checkpoint.edits.dir	${dfs.namenode.checkpoint.dir}
mapreduce.job.running.reduce.limit	0
dfs.namenode.heartbeat.recheck-interval	300000
dfs.namenode.safemode.extension	5000
mapreduce.job.reduce.shuffle.consumer.plugin.class	org.apache.hadoop.mapreduce.task.reduce.Shuffle
yarn.nodemanager.vmem-check-enabled	true
dfs.http.client.failover.sleep.base.millis	500
dfs.namenode.delegation.key.update-interval	86400000
hadoop.rpc.protection	authentication
fs.permissions.umask-mode	022
hadoop.http.staticuser.user	dr.who
fs.s3a.connection.maximum	15
fs.s3a.paging.maximum	5000
yarn.resourcemanager.delegation.token.renew-interval	86400000
ipc.maximum.response.length	134217728
hadoop.shell.missing.defaultFs.warning	false
hadoop.http.authentication.kerberos.keytab	${user.home}/hadoop.keytab
yarn.nodemanager.container-localizer.java.opts	-Xmx256m
dfs.client.block.write.replace-datanode-on-failure.enable	true
dfs.client.use.legacy.blockreader.local	false
dfs.namenode.checkpoint.dir	file://${hadoop.tmp.dir}/dfs/namesecondary
dfs.webhdfs.rest-csrf.browser-useragents-regex	^Mozilla.*,^Opera.*
dfs.namenode.top.windows.minutes	1,5,25
mapreduce.job.maxtaskfailures.per.tracker	3
net.topology.node.switch.mapping.impl	org.apache.hadoop.net.ScriptBasedMapping
mapreduce.shuffle.max.connections	0
yarn.client.application-client-protocol.poll-interval-ms	200
yarn.nodemanager.localizer.address	${yarn.nodemanager.hostname}:8040
dfs.namenode.list.cache.pools.num.responses	100
nfs.server.port	2049
fs.s3a.readahead.range	64K
ha.zookeeper.parent-znode	/hadoop-ha
yarn.sharedcache.admin.thread-count	1
yarn.nodemanager.resource.cpu-vcores	4
mapreduce.jobhistory.http.policy	HTTP_ONLY
fs.s3a.attempts.maximum	20
yarn.log-aggregation.retain-check-interval-seconds	-1
fs.s3n.multipart.copy.block.size	5368709120
mapreduce.job.jar	/tmp/hadoop-yarn/staging/hadoop/.staging/job_1537422601105_0009/job.jar
mapred.output.committer.class	org.apache.hadoop.mapred.DirectFileOutputCommitter
yarn.resourcemanager.node-ip-cache.expiry-interval-secs	-1
yarn.resourcemanager.zk-acl	world:anyone:rwcda
yarn.timeline-service.client.fd-clean-interval-secs	60
hadoop.ssl.keystores.factory.class	org.apache.hadoop.security.ssl.FileBasedKeyStoresFactory
mapreduce.job.split.metainfo.maxsize	10000000
fs.s3.maxRetries	4
hadoop.security.random.device.file.path	/dev/urandom
yarn.client.nodemanager-connect.max-wait-ms	180000
yarn.app.mapreduce.client-am.ipc.max-retries	3
yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage	false
dfs.replication.max	512
dfs.datanode.https.address	0.0.0.0:50475
ipc.client.kill.max	10
mapreduce.job.committer.setup.cleanup.needed	true
dfs.client.domain.socket.data.traffic	false
yarn.nodemanager.localizer.cache.target-size-mb	10240
yarn.resourcemanager.admin.client.thread-count	1
hadoop.security.group.mapping.ldap.connection.timeout.ms	60000
yarn.timeline-service.store-class	org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore
hadoop.tmp.dir	/mnt/var/lib/hadoop/tmp
hadoop.security.kms.client.failover.sleep.base.millis	100
yarn.node-labels.configuration-type	centralized
yarn.timeline-service.ttl-ms	604800000
mapreduce.task.exit.timeout.check-interval-ms	20000
mapreduce.map.speculative	true
yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms	1000
yarn.timeline-service.recovery.enabled	false
yarn.nodemanager.recovery.dir	${hadoop.tmp.dir}/yarn-nm-recovery
mapreduce.job.counters.max	120
dfs.namenode.max.full.block.report.leases	6
yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms	20
dfs.namenode.max.extra.edits.segments.retained	10000
dfs.webhdfs.user.provider.user.pattern	^[A-Za-z_][A-Za-z0-9._-]*[$]?$
dfs.client.mmap.enabled	true
mapreduce.map.log.level	INFO
dfs.client.file-block-storage-locations.timeout.millis	1000
yarn.app.mapreduce.am.scheduler.heartbeat.interval-ms	1000
hadoop.fuse.timer.period	5
ha.health-monitor.check-interval.ms	1000
yarn.nodemanager.docker-container-executor.exec-name	/usr/bin/docker
yarn.resourcemanager.fs.state-store.retry-interval-ms	1000
mapreduce.output.fileoutputformat.compress	true
io.native.lib.available	true
yarn.sharedcache.store.in-memory.staleness-period-mins	10080
mapreduce.input.fileinputformat.inputdir	hdfs:/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/step-output/0001
hadoop.security.group.mapping.providers.combined	true
fs.AbstractFileSystem.har.impl	org.apache.hadoop.fs.HarFs
mapreduce.job.running.map.limit	0
mapreduce.reduce.input.buffer.percent	0.0
yarn.nodemanager.webapp.address	${yarn.nodemanager.hostname}:8042
mapreduce.job.cache.files	hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/domainrank.py#domainrank.py,hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/mrjob.zip#mrjob.zip,hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/setup-wrapper.sh#setup-wrapper.sh
fs.s3a.multipart.size	100M
dfs.client.slow.io.warning.threshold.ms	30000
yarn.app.mapreduce.am.job.committer.commit-window	10000
yarn.app.mapreduce.am.jhs.backup.enabled	true
mapreduce.job.submithostname	ip-192-168-27-182.ec2.internal
dfs.namenode.edits.asynclogging	true
mapreduce.ifile.readahead	true
s3native.replication	3
stream.addenvironment	HADOOP_ROOT_LOGGER=
yarn.timeline-service.entity-group-fs-store.summary-store	org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore
s3.stream-buffer-size	4096
dfs.datanode.fsdatasetcache.max.threads.per.volume	4
fs.s3a.socket.recv.buffer	8192
mapreduce.output.fileoutputformat.compress.codec	org.apache.hadoop.io.compress.BZip2Codec
fs.adl.impl	org.apache.hadoop.fs.adl.AdlFileSystem
yarn.sharedcache.store.in-memory.initial-delay-mins	10
mapreduce.jobhistory.webapp.address	ip-192-168-27-182.ec2.internal:19888
mapreduce.task.userlog.limit.kb	0
fs.s3a.connection.ssl.enabled	true
hadoop.proxyuser.hadoop.hosts	*
yarn.sharedcache.webapp.address	0.0.0.0:8788
dfs.http.client.retry.policy.spec	10000,6,60000,10
hadoop.fuse.connection.timeout	300
mapreduce.input.fileinputformat.numinputfiles	10
ipc.server.max.connections	0
yarn.resourcemanager.rm.container-allocation.expiry-interval-ms	600000
yarn.app.mapreduce.am.resource.mb	1024
hadoop.security.groups.cache.secs	300
mapred.reducer.class	org.apache.hadoop.streaming.PipeReducer
s3.client-write-packet-size	65536
dfs.replication	1
mapreduce.shuffle.transfer.buffer.size	131072
hadoop.security.group.mapping.ldap.directory.search.timeout	10000
dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold	10737418240
yarn.app.mapreduce.client-am.ipc.max-retries-on-timeouts	3
yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs	3600
yarn.scheduler.maximum-allocation-vcores	128
yarn.nodemanager.sleep-delay-before-sigkill.ms	250
mapreduce.job.acl-modify-job	
fs.automatic.close	true
hadoop.proxyuser.httpfs.hosts	*
hadoop.security.groups.cache.background.reload.threads	3
mapreduce.input.fileinputformat.list-status.num-threads	1
hadoop.security.group.mapping.ldap.posix.attr.gid.name	gidNumber
dfs.namenode.acls.enabled	false
dfs.client.short.circuit.replica.stale.threshold.ms	1800000
fs.s3.block.size	67108864
dfs.namenode.resource.du.reserved	104857600
mapreduce.shuffle.listen.queue.size	128
mapreduce.jobhistory.intermediate-done-dir	${yarn.app.mapreduce.am.staging-dir}/history/done_intermediate
dfs.namenode.edits.noeditlogchannelflush	false
yarn.nodemanager.recovery.compaction-interval-secs	3600
mapreduce.reduce.shuffle.input.buffer.percent	0.70
mapreduce.map.maxattempts	4
yarn.http.policy	HTTP_ONLY
dfs.namenode.audit.loggers	default
hadoop.security.groups.cache.warn.after.ms	5000
io.serializations	org.apache.hadoop.io.serializer.WritableSerialization, org.apache.hadoop.io.serializer.avro.AvroSpecificSerialization, org.apache.hadoop.io.serializer.avro.AvroReflectSerialization
hadoop.http.cross-origin.allowed-methods	GET,POST,HEAD
yarn.node-labels.fs-store.impl.class	org.apache.hadoop.yarn.nodelabels.FileSystemNodeLabelsStore
dfs.http.policy	HTTP_ONLY
stream.map.input.writer.class	org.apache.hadoop.streaming.io.TextInputWriter
dfs.client.file-block-storage-locations.num-threads	10
mapreduce.cluster.local.dir	/mnt/mapred
dfs.namenode.secondary.https-address	0.0.0.0:50091
hadoop.kerberos.kinit.command	kinit
dfs.namenode.metrics.logger.period.seconds	600
dfs.block.access.token.lifetime	600
dfs.namenode.delegation.token.max-lifetime	604800000
dfs.datanode.drop.cache.behind.writes	false
mapreduce.local.clientfactory.class.name	org.apache.hadoop.mapred.LocalClientFactory
dfs.namenode.num.extra.edits.retained	1000000
dfs.namenode.replication.considerLoad.factor	2.0
fs.viewfs.rename.strategy	SAME_MOUNTPOINT
ipc.client.connect.max.retries.on.timeouts	5
hadoop.proxyuser.hive.hosts	*
yarn.resourcemanager.node-labels.provider.fetch-interval-ms	1800000
yarn.nodemanager.container-metrics.enable	false
fs.s3n.block.size	67108864
mapreduce.job.map.output.collector.class	org.apache.hadoop.mapred.MapTask$MapOutputBuffer
fs.s3a.fast.upload.buffer	disk
ha.health-monitor.connect-retry-interval.ms	1000
dfs.namenode.edekcacheloader.initial.delay.ms	3000
mapreduce.tasktracker.map.tasks.maximum	1
dfs.client.datanode-restart.timeout	30
io.mapfile.bloom.size	1048576
hadoop.security.kms.client.authentication.retry-count	1
dfs.client-write-packet-size	65536
fs.swift.impl	org.apache.hadoop.fs.swift.snative.SwiftNativeFileSystem
yarn.app.mapreduce.shuffle.log.backups	0
ftp.blocksize	67108864
yarn.log.server.url	http://ip-192-168-27-182.ec2.internal:19888/jobhistory/logs
dfs.namenode.kerberos.principal.pattern	*
yarn.resourcemanager.scheduler.monitor.enable	false
dfs.webhdfs.socket.connect-timeout	60s
nfs.allow.insecure.ports	true
mapreduce.job.cache.archives.visibilities	true
yarn.sharedcache.nm.uploader.thread-count	20
fs.AbstractFileSystem.s3.impl	org.apache.hadoop.fs.s3.EMRFSDelegate
hadoop.proxyuser.hadoop.groups	*
mapreduce.job.cache.archives.filesizes	1001386
yarn.app.mapreduce.client.job.retry-interval	2000
hadoop.security.authorization	false
yarn.timeline-service.version	1.0f
yarn.am.liveness-monitor.expiry-interval-ms	600000
fs.har.impl.disable.cache	true
dfs.namenode.upgrade.domain.factor	${dfs.replication}
yarn.timeline-service.leveldb-timeline-store.path	${hadoop.tmp.dir}/yarn/timeline
mapreduce.job.reduce.slowstart.completedmaps	0.05
fs.s3.impl	com.amazon.ws.emr.hadoop.fs.EmrFileSystem
mapreduce.jobhistory.minicluster.fixed.ports	false
mapreduce.application.classpath	$HADOOP_MAPRED_HOME/share/hadoop/mapreduce/*, $HADOOP_MAPRED_HOME/share/hadoop/mapreduce/lib/*, /usr/lib/hadoop-lzo/lib/*, /usr/share/aws/emr/emrfs/conf, /usr/share/aws/emr/emrfs/lib/*, /usr/share/aws/emr/emrfs/auxlib/*, /usr/share/aws/emr/lib/*, /usr/share/aws/emr/ddb/lib/emr-ddb-hadoop.jar, /usr/share/aws/emr/goodies/lib/emr-hadoop-goodies.jar, /usr/share/aws/emr/kinesis/lib/emr-kinesis-hadoop.jar, /usr/share/aws/emr/cloudwatch-sink/lib/*, /usr/share/aws/aws-java-sdk/*
yarn.resourcemanager.delegation.token.max-lifetime	604800000
yarn.resourcemanager.ha.automatic-failover.enabled	true
mapreduce.reduce.java.opts	-Xmx768m
mapreduce.job.userlog.retain.hours	48
dfs.namenode.accesstime.precision	3600000
mapreduce.map.output.value.class	org.apache.hadoop.io.Text
io.mapfile.bloom.error.rate	0.005
yarn.resourcemanager.store.class	org.apache.hadoop.yarn.server.resourcemanager.recovery.FileSystemRMStateStore
yarn.timeline-service.leveldb-state-store.path	${hadoop.tmp.dir}/yarn/timeline
hadoop.proxyuser.hive.groups	*
dfs.namenode.support.allow.format	true
yarn.resourcemanager.nodes.exclude-path	/emr/instance-controller/lib/yarn.nodes.exclude.xml
yarn.nodemanager.container-executor.class	org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor
mapred.map.runner.class	org.apache.hadoop.streaming.PipeMapRunner
mapred.output.direct.NativeS3FileSystem	true
dfs.namenode.top.enabled	true
yarn.app.mapreduce.shuffle.log.separate	true
hadoop.security.kms.client.encrypted.key.cache.low-watermark	0.3f
hadoop.user.group.static.mapping.overrides	dr.who=;
yarn.nodemanager.amrmproxy.address	0.0.0.0:8048
dfs.client.cached.conn.retry	3
dfs.namenode.path.based.cache.refresh.interval.ms	30000
dfs.namenode.fs-limits.max-directory-items	1048576
yarn.resourcemanager.zk-retry-interval-ms	1000
yarn.nodemanager.runtime.linux.docker.capabilities	CHOWN,DAC_OVERRIDE,FSETID,FOWNER,MKNOD,NET_RAW,SETGID,SETUID,SETFCAP,SETPCAP,NET_BIND_SERVICE,SYS_CHROOT,KILL,AUDIT_WRITE
dfs.ha.log-roll.period	120
yarn.minicluster.fixed.ports	false
ipc.client.fallback-to-simple-auth-allowed	false
yarn.nodemanager.remote-app-log-dir	/var/log/hadoop-yarn/apps
yarn.timeline-service.entity-group-fs-store.scan-interval-seconds	60
dfs.xframe.enabled	true
yarn.nodemanager.resource.percentage-physical-cpu-limit	100
dfs.namenode.fs-limits.max-xattr-size	16384
dfs.datanode.http.address	0.0.0.0:50075
dfs.namenode.blocks.per.postponedblocks.rescan	10000
hadoop.jetty.logs.serve.aliases	true
dfs.webhdfs.ugi.expire.after.access	600000
mapreduce.jobhistory.admin.acl	*
mapreduce.job.reducer.unconditional-preempt.delay.sec	300
yarn.app.mapreduce.am.hard-kill-timeout-ms	10000
yarn.resourcemanager.node-removal-untracked.timeout-ms	60000
yarn.resourcemanager.webapp.address	${yarn.resourcemanager.hostname}:8088
mapreduce.jobhistory.recovery.enable	false
yarn.sharedcache.store.in-memory.check-period-mins	720
fs.df.interval	60000
yarn.timeline-service.enabled	true
fs.s3n.impl	com.amazon.ws.emr.hadoop.fs.EmrFileSystem
hadoop.http.cross-origin.allowed-headers	X-Requested-With,Content-Type,Accept,Origin
mapreduce.task.profile	false
yarn.nodemanager.hostname	0.0.0.0
mapreduce.task.exit.timeout	60000
mapreduce.job.token.tracking.ids.enabled	false
yarn.scheduler.increment-allocation-mb	32
hadoop.security.kms.client.failover.sleep.max.millis	2000
dfs.client.mmap.retry.timeout.ms	300000
mapreduce.jobhistory.move.thread-count	3
dfs.permissions.enabled	true
fs.AbstractFileSystem.hdfs.impl	org.apache.hadoop.fs.Hdfs
hadoop.http.filter.initializers	org.apache.hadoop.yarn.server.webproxy.amfilter.AmFilterInitializer
yarn.timeline-service.http-authentication.simple.anonymous.allowed	true
yarn.sharedcache.client-server.thread-count	50
yarn.resourcemanager.resource-tracker.address	ip-192-168-27-182.ec2.internal:8025
mapreduce.job.working.dir	hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop
mapreduce.jobhistory.jobname.limit	50
dfs.namenode.decommission.blocks.per.interval	500000
rpc.metrics.quantile.enable	false
dfs.namenode.read-lock-reporting-threshold-ms	5000
mapreduce.task.timeout	600000
yarn.nodemanager.resource.memory-mb	2048
yarn.nodemanager.disk-health-checker.min-healthy-disks	0.25
dfs.datanode.failed.volumes.tolerated	0
mapreduce.fileoutputcommitter.algorithm.version	1
mapreduce.framework.name	yarn
yarn.resourcemanager.system-metrics-publisher.enabled	true
yarn.sharedcache.nested-level	3
hadoop.caller.context.signature.max.size	40
fs.s3a.connection.timeout	200000
hadoop.security.dns.log-slow-lookups.enabled	false
mapreduce.jobhistory.webapp.https.address	0.0.0.0:19890
file.client-write-packet-size	65536
ipc.client.ping	true
mapreduce.job.cache.files.filesizes	7746,297015,678
hadoop.proxyuser.oozie.hosts	*
yarn.resourcemanager.delayed.delegation-token.removal-interval-ms	30000
dfs.client.failover.max.attempts	15
yarn.nodemanager.webapp.cross-origin.enabled	false
dfs.client.read.shortcircuit.streams.cache.expiry.ms	300000
dfs.balancer.max-no-move-interval	60000
yarn.minicluster.control-resource-monitoring	false
mapreduce.client.genericoptionsparser.used	true
yarn.nodemanager.health-checker.script.timeout-ms	1200000
yarn.resourcemanager.fs.state-store.num-retries	0
hadoop.ssl.require.client.cert	false
hadoop.security.uid.cache.secs	14400
mapreduce.jobhistory.keytab	/etc/security/keytab/jhs.service.keytab
yarn.resourcemanager.ha.automatic-failover.zk-base-path	/yarn-leader-election
yarn.intermediate-data-encryption.enable	false
mapreduce.job.speculative.speculative-cap-running-tasks	0.1
dfs.datanode.block.id.layout.upgrade.threads	12
dfs.client.context	default
dfs.namenode.delegation.token.renew-interval	86400000
yarn.timeline-service.entity-group-fs-store.app-cache-size	10
fs.AbstractFileSystem.s3a.impl	org.apache.hadoop.fs.s3a.S3A
dfs.datanode.fsdataset.volume.choosing.policy	org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy
ipc.client.tcpnodelay	true
yarn.dispatcher.exit-on-error	true
hadoop.proxyuser.httpfs.groups	hudson,testuser,root,hadoop,jenkins,oozie,hive,httpfs,hue,users
yarn.resourcemanager.metrics.runtime.buckets	60,300,1440
mapreduce.job.cache.files.visibilities	true,true,true
dfs.blockreport.intervalMsec	21600000
yarn.client.application-client-protocol.poll-timeout-ms	-1
io.map.index.skip	0
mapreduce.job.hdfs-servers	${fs.defaultFS}
mapreduce.map.output.compress	true
hadoop.security.kms.client.encrypted.key.cache.num.refill.threads	2
fs.s3n.multipart.uploads.block.size	67108864
dfs.namenode.edekcacheloader.interval.ms	1000
mapreduce.task.merge.progress.records	10000
yarn.nodemanager.aux-services.mapreduce_shuffle.class	org.apache.hadoop.mapred.ShuffleHandler
tfile.fs.output.buffer.size	262144
fs.du.interval	600000
dfs.client.failover.connection.retries	0
dfs.namenode.top.window.num.buckets	10
mapreduce.job.dir	/tmp/hadoop-yarn/staging/hadoop/.staging/job_1537422601105_0009
yarn.sharedcache.uploader.server.address	0.0.0.0:8046
dfs.http.client.failover.max.attempts	15
rpc.engine.org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB	org.apache.hadoop.ipc.ProtobufRpcEngine
fs.s3a.socket.send.buffer	8192
mapreduce.jvm.system-properties-to-log	os.name,os.version,java.home,java.runtime.version,java.vendor,java.version,java.vm.name,java.class.path,java.io.tmpdir,user.dir,user.name
hadoop.registry.zk.quorum	localhost:2181
hadoop.http.cross-origin.allowed-origins	*
dfs.namenode.enable.retrycache	true
mapreduce.job.cache.archives.timestamps	1537435499911
dfs.datanode.du.reserved	536870912
hadoop.registry.system.acls	sasl:yarn@, sasl:mapred@, sasl:hdfs@
mapreduce.task.profile.reduce.params	${mapreduce.task.profile.params}
mapreduce.admin.user.env	LD_LIBRARY_PATH=$HADOOP_COMMON_HOME/lib/native:/usr/lib/hadoop-lzo/lib/native
mapreduce.reduce.memory.mb	1024
hadoop.http.authentication.kerberos.principal	HTTP/_HOST@LOCALHOST
hadoop.caller.context.enabled	false
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb	0
hadoop.security.sensitive-config-keys	secret$ password$ ssl.keystore.pass$ fs.s3.*[Ss]ecret.?[Kk]ey fs.azure.account.key.* credential$ oauth.*token$ hadoop.security.sensitive-config-keys
mapreduce.client.completion.pollinterval	5000
dfs.namenode.name.dir.restore	false
dfs.namenode.full.block.report.lease.length.ms	300000
dfs.namenode.secondary.http-address	0.0.0.0:50090
hadoop.security.group.mapping.ldap.read.timeout.ms	60000
s3.bytes-per-checksum	512
yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory	10
yarn.resourcemanager.webapp.https.address	${yarn.resourcemanager.hostname}:8090
